90001,10002,Velocity Fraud,2025-01-01
90002,10008,Velocity Fraud,2025-01-01
90003,10009,Velocity Fraud,2025-01-01
90004,10011,High Transaction Amount,2025-01-03
90005,10030,High Transaction Amount,2025-01-02
90006,10035,High Transaction Amount,2025-01-02
90007,10100,High Transaction Amount,2025-01-01
90008,10105,Multiple Failed Transactions,2025-01-02
90009,10107,Velocity Fraud,2025-01-01
90010,10108,Velocity Fraud,2025-01-01
90011,10109,Velocity Fraud,2025-01-02
90012,10112,High Transaction Amount,2025-01-01
90013,10115,High Transaction Amount,2025-01-02
90014,10133,High Transaction Amount,2025-01-02
90015,10200,Multiple Failed Transactions,2025-01-03
90016,10203,High Transaction Amount,2025-01-03
90017,10204,Velocity Fraud,2025-01-01
90018,10207,Velocity Fraud,2025-01-02
90019,10223,Velocity Fraud,2025-01-06
90020,10232,High Transaction Amount,2025-01-02
90021,10309,High Transaction Amount,2025-01-01
90022,10318,Velocity Fraud,2025-01-01
90023,10325,High Transaction Amount,2025-01-01
90024,10331,Velocity Fraud,2025-01-01
90025,10333,High Transaction Amount,2025-01-08
90026,10334,Velocity Fraud,2025-01-03
90027,10337,Multiple Failed Transactions,2025-01-01
90028,10339,High Transaction Amount,2025-01-03
90029,10400,Multiple Failed Transactions,2025-01-01
90030,10401,Velocity Fraud,2025-01-01
90031,10404,Multiple Failed Transactions,2025-01-02
90032,10407,High Transaction Amount,2025-01-01
90033,10409,Velocity Fraud,2025-01-01
90034,10415,Multiple Failed Transactions,2025-01-01
90035,10422,High Transaction Amount,2025-01-02
90036,10430,High Transaction Amount,2025-01-01
90037,10437,Multiple Failed Transactions,2025-01-02
90038,10438,Velocity Fraud,2025-01-02
90039,10439,High Transaction Amount,2025-01-01
90040,10500,Multiple Failed Transactions,2025-01-02
